flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
2634,IAX,PDX,9/1/2022,58019,Belgium waffle,WF,20,32
2666,ORX,IAX,9/1/2022,60549,Vegetarian chili and polenta cake,V,3,0
2310,DEX,SAX,9/2/2022,58981,Scrambled eggs,O,9,7
1712,SFX,CLX,9/4/2022,58764,Mediterranean Falafel Bowl,V,1,0
1225,LAX,HNX,9/8/2022,60549,Vegetarian chili and polenta cake,V,1,0
2637,CLX,MCX,9/12/2022,58019,Belgium waffle,WF,16,16
1691,DEX,SAX,9/12/2022,58574,Belgium waffle,WF,6,2
592,SEX,EWX,9/13/2022,60983,Zatar chicken,C,22,22
1618,LAX,ORX,9/13/2022,60987,Impossible Meatball Bowl,V,7,4
2087,IAX,LAX,9/13/2022,60983,Zatar chicken,C,10,9
1508,DEX,SAX,9/14/2022,61360,Brioche cheeseburger,B,6,6
1572,IAX,BOX,9/16/2022,61360,Brioche cheeseburger,B,1,0
1685,SFX,LIX,9/17/2022,61360,Brioche cheeseburger,B,1,0
1946,MSX,DEX,9/18/2022,60983,Zatar chicken,C,20,16
2662,ORX,BZX,9/20/2022,58272,Horchata steel cut oatmeal,OM,2,0
1640,OGX,SFX,9/21/2022,60458,Crispy Hawaiian garlic tofu,V,6,0
1806,LAX,EWX,9/23/2022,60987,Impossible Meatball Bowl,V,7,0
1806,LAX,EWX,9/23/2022,60983,Zatar chicken,C,11,0
465,DEX,PDX,9/1/2022,60983,Zatar chicken,C,22,16
2196,ORX,IAX,9/4/2022,61360,Brioche cheeseburger,B,4,2
2083,ORX,MCX,9/4/2022,58272,Horchata steel cut oatmeal,OM,1,0
1283,DEX,BUX,9/5/2022,61530,Impossible Meatball Bowl,V,5,3
724,ORX,PHX,9/7/2022,58764,Mediterranean Falafel Bowl,V,1,0
1614,IAX,EWX,9/9/2022,58981,Scrambled eggs,O,14,10
234,DEX,SFX,9/9/2022,60987,Impossible Meatball Bowl,V,12,4
234,DEX,SFX,9/9/2022,61360,Brioche cheeseburger,B,2,1
725,HNX,SFX,9/2/2022,58091,Chicken katsu,C,22,20
1430,IAX,EWX,9/3/2022,60987,Impossible Meatball Bowl,V,12,6
615,IAX,SMX,9/3/2022,60987,Impossible Meatball Bowl,V,12,8
1187,DFX,ORX,9/4/2022,61529,Zatar chicken,C,7,4
1787,LAX,CLX,9/3/2022,60983,Zatar chicken,C,22,14
1828,IAX,LAX,9/8/2022,60983,Zatar chicken,C,7,0
1741,ORX,RSX,9/1/2022,58019,Belgium waffle,WF,9,8
787,DEX,SJX,9/6/2022,60983,Zatar chicken,C,10,0
1760,IAX,DCX,9/7/2022,61529,Zatar chicken,C,5,0
2213,IAX,SEX,9/10/2022,58764,Mediterranean Falafel Bowl,V,2,0
1741,ORX,RSX,9/14/2022,58272,Horchata steel cut oatmeal,OM,2,0
151,KIX,GUX,9/16/2022,44184,Chicken roulade,C,6,8
1542,LAX,IAX,9/20/2022,61529,Zatar chicken,C,7,0
1182,LAX,IAX,9/6/2022,58019,Belgium waffle,WF,10,9
2216,EWX,LAX,9/1/2022,56447,Kosher Meal,KS,1,1
1219,EWX,LAX,9/1/2022,61530,Impossible Meatball Bowl,V,4,0
707,OGX,LAX,9/5/2022,58091,Chicken katsu,C,12,11
407,DEX,LGX,9/5/2022,61530,Impossible Meatball Bowl,V,3,3
1657,ORX,CUX,9/11/2022,58764,Mediterranean Falafel Bowl,V,2,0
1657,ORX,CUX,9/11/2022,61360,Brioche cheeseburger,B,1,0
1663,ORX,LAX,9/13/2022,60549,Vegetarian chili and polenta cake,V,1,0
540,SFX,OGX,9/24/2022,53014,Thai chicken,C,9,9
1615,JAX,ORX,9/24/2022,61530,Impossible Meatball Bowl,V,5,5
2268,ORX,PDX,9/27/2022,60987,Impossible Meatball Bowl,V,6,0
455,EWX,MSX,9/12/2022,60987,Impossible Meatball Bowl,V,5,2
2457,LAX,EWX,9/13/2022,53162,Vegetarian entree,VG,2,0
2430,ORX,BOX,9/14/2022,58574,Belgium waffle,WF,5,0
2274,DEX,BWX,9/14/2022,58563,Tomato and kale baked egg,E,4,2
1137,DEX,MKX,9/16/2022,60987,Impossible Meatball Bowl,V,10,0
327,SEX,EWX,9/18/2022,61530,Impossible Meatball Bowl,V,5,0
1940,EWX,PBX,9/19/2022,61524,Scrambled eggs,O,6,6
2243,ORX,LAX,9/20/2022,58981,Scrambled eggs,O,24,24
1152,DFX,ORX,9/21/2022,58019,Belgium waffle,WF,16,8
1437,ORX,IAX,9/23/2022,60987,Impossible Meatball Bowl,V,6,4
412,DEX,LGX,9/25/2022,60987,Impossible Meatball Bowl,V,6,0
2279,ORX,SEX,9/6/2022,60987,Impossible Meatball Bowl,V,14,5
1207,DEX,YVX,9/9/2022,61360,Brioche cheeseburger,B,6,0
